,,,,,Location,,,,,,,,,,,,,,,,cancer data,scArches mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level_1,Level_2,Level_3,Level_4,Level_5,Nasal,Bronchial,Parenchyma,Banovich_Kropski_2020,Barbry_Leroy_2020,Jain_Misharin_2021,Krasnow_2020,Meyer_2019,Lafyatis_Rojas_2019,Meyer_2021,Meyer_Nikolic_2021,Misharin_2021,Misharin_Budinger_2018,Nawijn_2021,Seibold_2020,Teichmann_Meyer_2019,Thienpont_2018,Kaminski_2020,Schiller2021,Banovich_Kropski_2020_disease,Regev2021,Misharin_Budinger_2018_disease,Eils_2020,Zhang2021,Sims2019,Sheppard_2020,Lafyatis2019,Shalek2018,PeerMassague2020,Budinger2021,Janssen2020,Wunderink2021,Xu2020,Gomperts2021,Lambrechts2021,BarbryX,Duong_lungMAP_unpubl,Sun_2020,,Suggested annotation depth for probesets,,Expected spatial location,,cell ontology curie,cell ontology label,organ ontology curie,organ ontology label
|,|,|,SMG duct,,,,,,,,,,,,,,,SMG - Duct cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,Alveolar epithelium,>,,,,,,,,,,,,,,"AT1,HHIP+ AT2",,,,,Alveolar,,,,,,,,,,,,,,,,,,,,,,,,,,,CL:0010003,epithelial cell of alveolus of lung,UBERON:0004821,pulmonary alveolus epithelium
|,|,AT1,,,,,,AT1,AT1,,Alveolar Epithelial Type 1,,,AT1,,AT1,,,,Type_1_alveolar,,ATI,,AT1,,AT1,AT1,,,,,,,,,,,,,,AT1,alveolar type 1 cells,,,,,,CL:0002062,type I pneumocyte,,
|,|,AT1,,,,,,,,,,Alveolar_Type1,8 AT1,,,SC85_C9_AT1_1,Alveolar epithelial type 1 cells,,,,,,,,,,,,,,,,,,,,,,,,AT1 diff,,,Alveolar_type2,Parenchyma,,,,,,
|,|,AT1,,,,,,,,,,,,,,SC85_C16_AT1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,AT1,,,,,,,,,,,,,,SC85_C18_AT1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,AT1,,,,,,,,,,,,,,SC86_C19_AT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|,|,AT2,>,,,,,AT2,AT2,,Alveolar Epithelial Type 2,Alveolar_Type2,6 AT2,AT2,,AT2,Alveolar epithelial type 2 cells,,,Type 2 alveolar,,ATII,,AT2,,AT2,AT2,,,,,,,,,,,,,,AT2,alveolar type 2 cells,,,,,,CL:0002063,type II pneumocyte,,
|,|,|,AT2 homeostatic,,,,,,,,,,,,,SC85_C0_AT2_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ciliated,Airway wall,,,,,,
|,|,|,AT2 homeostatic,,,,,,,,,,,,,SC85_C1_AT2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
